                Great Lakes Average Ice Concentration

------------------------------------------------------------------
                       Ice Concentration (%)
 
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr  GL Total
2023 003    2.07    2.64    3.82   10.22    0.97   57.86    3.52
2023 004    1.80    2.97    3.92   10.46    0.95   57.86    3.53
2023 005    1.72    2.76    3.10    8.74    0.92   43.86    3.04
2023 006    3.24    2.66    3.20    5.18    0.72   13.71    3.14
2023 007    3.71    2.73    2.93    4.11    0.60    8.43    3.13
2023 008    3.79    3.15    3.25    4.43    1.36    8.59    3.42
2023 009    3.50    4.00    3.41    4.14    1.29    9.29    3.51
2023 010    2.54    3.98    3.54    3.65    1.10    3.76    3.11
2023 011    2.61    3.39    3.82    3.35    0.73    3.27    3.01
2023 012    2.44    3.45    4.37    3.35    0.83    3.27    3.10
2023 013    2.21    3.24    4.53    2.06    0.83    0.00    2.87
2023 014    3.73    6.71   10.43    3.32    0.79    1.32    5.73
2023 015    3.28    5.16   12.04   10.06    1.08   38.05    6.40
2023 016    2.70    2.86   11.58    9.65    1.96   60.57    5.67
2023 017    2.33    2.61    8.07    4.88    2.03    0.21    3.97
2023 018    1.97    3.50    7.41    3.11    1.63    0.10    3.69
2023 019    1.93    3.06    6.18    2.87    1.49    0.00    3.25
2023 020    3.01    4.58    8.24    2.06    1.35    0.00    4.39
2023 021    2.75    6.81    6.99    1.85    1.37    0.00    4.48
2023 022    3.70    7.77   10.00    0.30    1.37    0.00    5.62
2023 023    4.31    9.32    9.87    0.29    1.33    0.00    6.15
2023 024    2.85    6.45    8.02    0.10    1.34    0.00    4.52
2023 025    3.26    6.63    7.63    0.06    1.34    0.00    4.61
2023 026    2.88    6.19    8.92    0.07    1.29    0.00    4.67
2023 027    5.26    7.71   12.12    0.31    1.82    0.97    6.72
2023 028    4.63    8.33    9.96    0.08    1.58    1.81    6.08
2023 029    5.99   10.09   11.56    0.12    1.38    0.90    7.34
2023 030    6.27   11.03   16.38    0.32    1.15    4.17    8.81
2023 031    8.21   13.91   18.81    7.09    1.45   50.77   11.58
2023 032    9.19   12.72   17.95   11.45    2.31   60.42   11.98
2023 033    8.79   11.87   13.70   21.24    2.31   71.96   11.59
2023 034    8.26   16.04   22.76   20.14    5.49   88.09   14.69
2023 035   15.06   21.51   26.13   37.07   16.38   93.21   21.62
2023 036   14.54   14.35   24.60   40.18   10.65   94.62   19.32
2023 037   14.04   14.70   21.86   27.51   10.66   92.00   17.37
2023 038   11.08   10.49   18.42   20.97    5.69   71.98   13.47
2023 039    7.85    9.88   14.94   14.29    3.53   65.58   10.51
2023 040    7.98    9.61   14.80   13.82    3.16   65.58   10.39
2023 041    5.77   11.20   15.89   10.25    4.26   49.60    9.88
2023 042    7.75   10.07   17.39    2.67    2.04   19.98    9.72
2023 043    5.46    7.56   12.62    0.60    1.64    6.54    6.91
2023 044    5.38    8.37   13.26    0.60    2.46    6.54    7.28
2023 045    4.86    7.98   11.73    0.70    1.53    4.09    6.56
2023 046    4.68    7.26   10.58    0.09    1.62    0.71    6.00
2023 047    4.24    6.99   10.58    0.10    1.55    0.00    5.77
2023 048    7.97    8.11   14.65    0.39    1.07    0.00    8.35
2023 049    9.46    9.27   14.71    0.15    1.06    8.16    9.18
2023 050    9.75    8.40   16.44    0.00    1.06    2.09    9.46
2023 051    6.00    6.98   10.87    0.00    0.96    0.00    6.43
2023 052    7.29    6.21   10.88    0.00    0.95    0.00    6.73
2023 053    7.87   10.45   12.81    0.00    0.89    0.00    8.35
2023 054    8.40   11.75   23.27    0.00    0.89    0.00   11.33
2023 055   19.83   16.08   34.37    0.00    7.48    2.26   19.62
2023 056   19.34   16.04   34.32    0.00    6.50    3.58   19.36
2023 057   10.65   11.07   18.45    0.00    3.43    0.00   11.04
2023 058   12.28   10.32   23.88    0.00    2.66    0.00   12.70
2023 059   11.78   11.38   25.52    0.00    3.45    0.00   13.21
2023 060   11.24   11.32   24.28    0.00    4.13    0.00   12.75
2023 061    9.23   10.70   23.03    0.00    4.13    0.00   11.58
2023 062   15.44   14.63   24.94    0.00    4.60    0.00   15.22
2023 063   14.20   11.79   21.10    0.00    6.48    0.00   13.35
2023 064   14.01   12.15   20.14    0.00    5.03    0.00   13.03
2023 065    8.78    9.55   15.12    0.00    3.22    0.00    9.20
2023 066    8.71    9.24   14.28    0.00    2.87    0.00    8.88
2023 067    8.58    8.89   12.15    0.00    2.67    0.00    8.23
2023 068    7.14    9.03   12.35    0.00    2.36    0.00    7.76
2023 069    8.21    9.98   14.00    0.00    2.35    0.00    8.76
2023 070    5.69    6.28    9.65    0.00    2.19    0.00    5.96
2023 071    5.56    5.89    9.58    0.00    5.77    0.00    6.07
2023 072    5.51    5.69   14.49    0.00    2.60    0.00    6.94
2023 073   10.17    8.83   14.61    0.00    2.59    0.00    9.38
2023 074    7.68    7.69   17.23    0.00    1.86    0.00    8.78
2023 075    5.80    6.27   12.84    0.00    1.71    0.00    6.72
2023 076    5.43    6.21   10.75    0.00    1.74    0.00    6.08
2023 077    6.90    6.89   10.03    0.00    1.98    0.00    6.61
2023 078    7.36    7.11   13.12    0.00    1.73    3.83    7.56
2023 079    5.98    5.91    9.26    0.00    0.93    3.20    5.80
2023 080    5.24    7.29    8.65    0.00    1.00    0.00    5.69
2023 081    4.29    5.12    9.02    0.00    0.80    0.00    4.93
2023 082    4.72    5.62    8.44    0.00    0.70    0.00    5.05
2023 083    7.53    6.80    8.79    0.00    0.70    0.00    6.43
2023 084    5.87    4.51    8.43    0.00    0.63    0.00    5.22
2023 085    4.44    4.40    7.42    0.00    0.63    0.00    4.43
2023 086    5.00    4.76    7.69    0.00    0.53    0.00    4.77
2023 087    3.79    4.76    7.66    0.00    0.21    0.00    4.30
2023 088    3.14    3.58    7.24    0.00    0.21    0.00    3.69
2023 089    3.09    2.96    6.46    0.00    0.05    0.00    3.34
2023 090    3.02    2.76    6.42    0.00    0.05    0.00    3.26
2023 091    2.62    2.99    6.23    0.00    0.05    0.00    3.12
2023 092    2.83    1.77    6.65    0.00    0.00    0.00    3.02
2023 093    3.08    1.36    6.11    0.00    0.00    0.00    2.89
2023 094    3.25    1.43    5.98    0.00    0.00    0.00    2.94
2023 095    2.73    1.51    6.16    0.00    0.00    0.00    2.81
2023 096    2.64    0.36    6.00    0.00    0.00    0.00    2.48
2023 097    3.47    0.26    5.07    0.00    0.00    0.00    2.54
2023 098    5.39    0.26    4.65    0.00    0.00    0.00    3.14
2023 099    2.41    0.38    4.57    0.00    0.00    0.00    2.06
2023 100    2.63    0.22    4.65    0.00    0.00    0.00    2.12
2023 101    2.34    0.10    4.62    0.00    0.00    0.00    1.98
2023 102    2.11    0.08    4.47    0.00    0.00    0.00    1.85
2023 103    2.04    0.07    4.35    0.00    0.00    0.00    1.80
2023 104    1.94    0.06    4.18    0.00    0.00    0.00    1.72
2023 105    1.91    0.05    3.77    0.00    0.00    0.00    1.61
2023 106    1.73    0.05    3.86    0.00    0.00    0.00    1.56
2023 107    1.63    0.00    3.50    0.00    0.00    0.00    1.43
2023 108    1.43    0.00    3.07    0.00    0.00    0.00    1.25
2023 109    1.26    0.00    0.76    0.00    0.00    0.00    0.64
2023 110    1.26    0.00    0.64    0.00    0.00    0.00    0.62
2023 111    1.24    0.00    0.36    0.00    0.00    0.00    0.54
2023 112    1.22    0.00    0.37    0.00    0.00    0.00    0.53
2023 113    1.26    0.00    0.20    0.00    0.00    0.00    0.51
2023 114    1.14    0.00    0.20    0.00    0.00    0.00    0.46
2023 115    1.13    0.00    0.19    0.00    0.00    0.00    0.46
2023 116    1.13    0.00    0.12    0.00    0.00    0.00    0.44
2023 117    1.12    0.00    0.00    0.00    0.00    0.00    0.41
2023 118    1.10    0.00    0.00    0.00    0.00    0.00    0.40
2023 119    1.10    0.00    0.00    0.00    0.00    0.00    0.40
2023 120    1.08    0.00    0.00    0.00    0.00    0.00    0.40
2023 121    1.02    0.00    0.00    0.00    0.00    0.00    0.37
2023 122    1.00    0.00    0.00    0.00    0.00    0.00    0.36
2023 123    1.00    0.00    0.00    0.00    0.00    0.00    0.37
2023 124    1.00    0.00    0.00    0.00    0.00    0.00    0.37
2023 125    0.95    0.00    0.00    0.00    0.00    0.00    0.35
2023 126    0.94    0.00    0.00    0.00    0.00    0.00    0.34
2023 127    0.94    0.00    0.00    0.00    0.00    0.00    0.34
2023 128    0.93    0.00    0.00    0.00    0.00    0.00    0.34
2023 129    0.94    0.00    0.00    0.00    0.00    0.00    0.34
2023 130    0.93    0.00    0.00    0.00    0.00    0.00    0.34
2023 131    0.92    0.00    0.00    0.00    0.00    0.00    0.34
2023 132    0.84    0.00    0.00    0.00    0.00    0.00    0.31
2023 133    0.71    0.00    0.00    0.00    0.00    0.00    0.26
2023 134    0.53    0.00    0.00    0.00    0.00    0.00    0.19
2023 135    0.35    0.00    0.00    0.00    0.00    0.00    0.13
2023 136    0.05    0.00    0.00    0.00    0.00    0.00    0.02
2023 137    0.02    0.00    0.00    0.00    0.00    0.00    0.01
2023 138    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2023 139    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2023 140    0.00    0.00    0.00    0.00    0.00    0.00    0.00
2023 141    0.00    0.00    0.00    0.00    0.00    0.00    0.00
